code,name,manufacture,content,expiry_date,quantity,saleprice,tag,company_code,unit,dosage,"entry_price
",number_1,Number_2,Number_3,Number_4
1,Vaccin dại – VERORAB,Pháp,,2030-10-10,10,"250,000",default,1,Liều,"0,5ml","285,000",6,12,24,36
2,Vaccin tiêu chảy Rotavirus - ROTAVIN-M1,Việt Nam,,2030-10-11,11,"388,000",default,1,Lọ,2ml,"435,000",6,12,24,36
3,Vaccin dại - ABHAYRAB,Ấn Độ,,2030-10-12,12,"210,000",default,1,Liều,"0,5ml","210,000",6,12,24,36
4,"Vaccin bạch hầu, ho gà, uốn ván - ADACEL",Canada,,2030-10-13,13,"635,000",default,1,Hộp,1500UI,"635,000",6,12,24,36
5,Vaacin viêm gan siêu vi A - AVAXIM,Pháp,,2030-10-14,14,"470,000",default,1,Liều,"0,5ml","450,000",6,12,24,36
6,Vaccin ung thư tử cung HP - CERVARIX,Bỉ,,2030-10-15,15,"880,000",default,1,Liều,"0,5ml","880,000",6,12,24,36
7,Vaccin viêm gan B - ENGERIX B - 1ml,Bỉ,,2030-10-16,16,"150,000",default,1,Lọ,20mcg/1ml,"150,000",6,12,24,36
8,"Vaccin viêm gan B - ENGERIX B - 0,5ml",Bỉ,,2030-10-17,17,"90,000",default,1,Lọ,"10mcg/0,5ml","90,000",6,12,24,36
9,"Vaccin viêm gan B - EUVAX B - 0,5ml",Hàn Quốc,,2030-10-18,18,"90,000",default,1,Lọ,"10mcg/0,5ml","110,000",6,12,24,36
10,Vaccin viêm gan B - EUVAX B - 1ml,Hàn Quốc,,2030-10-19,19,"150,000",default,1,Lọ,20mcg/1ml,"160,000",6,12,24,36
11,Vaccin ung thư cổ tử cung HP - GARDASIL,Mỹ,,2030-10-20,20,"1,350,000",default,1,Lọ,"0,5ml","1,500,000",6,12,24,36
12,"Vaccin 6 trong 1 (Bạch hầu, uốn ván, ho gà, bại liệt, viêm gan B, Hib)- HEXAXIM",Pháp,,2030-10-21,21,"980,000",default,1,Liều,"0,5ml","990,000",6,12,24,36
13,Vaccin Hib - HIBERIX,Bỉ,,2030-10-22,22,"300,000",default,1,Lọ,"0,5ml","300,000",6,12,24,36
14,Huyết thanh kháng Dại -SAR,Việt Nam,,2030-10-23,23,"405,000",default,1,Liều,1000UI,"405,000",6,12,24,36
15,"Vaccin 6 trong 1 (Bạch hầu, uốn ván, ho gà, bại liệt, viêm gan B, Hib) - INFANRIX",Bỉ,,2030-10-24,24,"890,000",default,1,Lọ,"0,5ml","980,000",6,12,24,36
16,Vaccin viêm não Nhật bản - JEVAX,Việt Nam,,2030-10-25,25,"90,000",default,1,Lọ,1ml,,6,12,24,36
17,Vaccin viêm não mô cầu - MENACTRA,Mỹ,,2030-10-26,26,"1,165,000",default,1,Lọ,"0,5ml","1,175,000",6,12,24,36
